# WaferCalibSDK Reflectance LUT Calibration Recipe
# Format: Input_Gray, Output_Gray
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,2
11,3
12,4
13,5
14,6
15,7
16,8
17,9
18,9
19,10
20,11
21,12
22,13
23,14
24,15
25,16
26,17
27,18
28,19
29,20
30,21
31,22
32,23
33,24
34,25
35,25
36,26
37,27
38,28
39,29
40,30
41,31
42,32
43,33
44,34
45,35
46,36
47,37
48,38
49,39
50,40
51,40
52,41
53,42
54,43
55,44
56,45
57,46
58,47
59,48
60,49
61,50
62,51
63,52
64,53
65,54
66,55
67,56
68,56
69,57
70,58
71,59
72,60
73,61
74,62
75,63
76,64
77,65
78,66
79,67
80,68
81,69
82,70
83,71
84,72
85,72
86,73
87,74
88,75
89,76
90,77
91,78
92,79
93,80
94,81
95,82
96,83
97,84
98,85
99,86
100,87
101,88
102,88
103,89
104,90
105,91
106,92
107,93
108,94
109,95
110,96
111,97
112,98
113,99
114,100
115,101
116,102
117,103
118,103
119,104
120,105
121,106
122,107
123,108
124,109
125,110
126,111
127,112
128,113
129,114
130,115
131,116
132,117
133,118
134,119
135,119
136,120
137,121
138,122
139,123
140,124
141,125
142,126
143,128
144,128
145,128
146,128
147,128
148,128
149,128
150,128
151,128
152,128
153,128
154,129
155,130
156,131
157,133
158,134
159,135
160,136
161,137
162,138
163,140
164,141
165,142
166,143
167,144
168,145
169,147
170,148
171,149
172,150
173,151
174,152
175,154
176,155
177,156
178,157
179,158
180,159
181,161
182,162
183,163
184,164
185,165
186,166
187,168
188,169
189,170
190,171
191,172
192,173
193,175
194,176
195,177
196,178
197,179
198,180
199,182
200,183
201,184
202,185
203,186
204,187
205,189
206,190
207,192
208,192
209,192
210,192
211,192
212,192
213,192
214,192
215,192
216,192
217,192
218,193
219,194
220,195
221,196
222,198
223,199
224,200
225,201
226,202
227,203
228,204
229,205
230,207
231,208
232,209
233,210
234,211
235,212
236,213
237,214
238,216
239,217
240,218
241,219
242,220
243,221
244,222
245,223
246,225
247,226
248,227
249,228
250,230
251,230
252,230
253,230
254,230
255,230
